Process,Topic,SAP Table,Business Table
Customer Service and Returns,OTIF and Customer Delivery Performance,VBRK,Billing Document
Customer Service and Returns,OTIF and Customer Delivery Performance,VBRP,Billing Document
Customer Service and Returns,OTIF and Customer Delivery Performance,QMEL,Quality & Returns
Customer Service and Returns,OTIF and Customer Delivery Performance,SER01,Quality & Returns
Customer Service and Returns,OTIF and Customer Delivery Performance,OBJK,Quality & Returns
Customer Service and Returns,OTIF and Customer Delivery Performance,CRHD,Production Order
Customer Service and Returns,Planned production for sales orders,VBAK,Sales Order Header
Customer Service and Returns,Planned production for sales orders,VBAP,Sales Order Item
Customer Service and Returns,Planned production for sales orders,VBUK,Sales Order Status Header
Customer Service and Returns,Planned production for sales orders,VBUP,Sales Order Status Item
Customer Service and Returns,Planned production for sales orders,LIKP,Delivery Header
Customer Service and Returns,Planned production for sales orders,LIPS,Delivery Item
Customer Service and Returns,Planned production for sales orders,VBRK,Billing Document
Customer Service and Returns,Planned production for sales orders,VBRP,Billing Document
Customer Service and Returns,Planned production for sales orders,QMEL,Quality & Returns
Customer Service and Returns,Planned production for sales orders,SER01,Quality & Returns
Customer Service and Returns,Planned production for sales orders,OBJK,Quality & Returns
Customer Service and Returns,Planned production for sales orders,CRHD,Production Order
Customer Service and Returns,Return Rate Analysis,VBAK,Sales Order Header
Customer Service and Returns,Return Rate Analysis,VBAP,Sales Order Item
Customer Service and Returns,Return Rate Analysis,VBUK,Sales Order Status Header
Customer Service and Returns,Return Rate Analysis,VBUP,Sales Order Status Item
Customer Service and Returns,Return Rate Analysis,LIKP,Delivery Header
Customer Service and Returns,Return Rate Analysis,LIPS,Delivery Item
Customer Service and Returns,Return Rate Analysis,VBRK,Billing Document
Customer Service and Returns,Return Rate Analysis,VBRP,Billing Document
Customer Service and Returns,Return Rate Analysis,QMEL,Quality & Returns
Customer Service and Returns,Return Rate Analysis,SER01,Quality & Returns
Customer Service and Returns,Return Rate Analysis,OBJK,Quality & Returns
Customer Service and Returns,Return Rate Analysis,CRHD,Production Order
Customer Service and Returns,Customer Complaint Rate,VBAK,Sales Order Header
Customer Service and Returns,Customer Complaint Rate,VBAP,Sales Order Item
Customer Service and Returns,Customer Complaint Rate,VBUK,Sales Order Status Header
Customer Service and Returns,Customer Complaint Rate,VBUP,Sales Order Status Item
Customer Service and Returns,Customer Complaint Rate,LIKP,Delivery Header
Customer Service and Returns,Customer Complaint Rate,LIPS,Delivery Item
Customer Service and Returns,Customer Complaint Rate,VBRK,Billing Document
Customer Service and Returns,Customer Complaint Rate,VBRP,Billing Document
Customer Service and Returns,Customer Complaint Rate,QMEL,Quality & Returns
Customer Service and Returns,Customer Complaint Rate,SER01,Quality & Returns
Customer Service and Returns,Customer Complaint Rate,OBJK,Quality & Returns
Customer Service and Returns,Customer Complaint Rate,CRHD,Production Order
Customer Service and Returns,First Contact Resolution,VBAK,Sales Order Header
Customer Service and Returns,First Contact Resolution,VBAP,Sales Order Item
Customer Service and Returns,First Contact Resolution,VBUK,Sales Order Status Header
Customer Service and Returns,First Contact Resolution,VBUP,Sales Order Status Item
Customer Service and Returns,First Contact Resolution,LIKP,Delivery Header
Customer Service and Returns,First Contact Resolution,LIPS,Delivery Item
Customer Service and Returns,First Contact Resolution,VBRK,Billing Document
Customer Service and Returns,First Contact Resolution,VBRP,Billing Document
Customer Service and Returns,First Contact Resolution,QMEL,Quality & Returns
Customer Service and Returns,First Contact Resolution,SER01,Quality & Returns
Customer Service and Returns,First Contact Resolution,OBJK,Quality & Returns
Customer Service and Returns,First Contact Resolution,CRHD,Production Order
Customer Service and Returns,Warranty Claim Rates,VBAK,Sales Order Header
Customer Service and Returns,Warranty Claim Rates,VBAP,Sales Order Item
Customer Service and Returns,Warranty Claim Rates,VBUK,Sales Order Status Header
Customer Service and Returns,Warranty Claim Rates,VBUP,Sales Order Status Item
Customer Service and Returns,Warranty Claim Rates,LIKP,Delivery Header
Customer Service and Returns,Warranty Claim Rates,LIPS,Delivery Item
Customer Service and Returns,Warranty Claim Rates,VBRK,Billing Document
Customer Service and Returns,Warranty Claim Rates,VBRP,Billing Document
Customer Service and Returns,Warranty Claim Rates,QMEL,Quality & Returns
Customer Service and Returns,Warranty Claim Rates,SER01,Quality & Returns
Customer Service and Returns,Warranty Claim Rates,OBJK,Quality & Returns
Customer Service and Returns,Warranty Claim Rates,CRHD,Production Order
Customer Service and Returns,Response Time,VBAK,Sales Order Header
Customer Service and Returns,Response Time,VBAP,Sales Order Item
Customer Service and Returns,Response Time,VBUK,Sales Order Status Header
Customer Service and Returns,Response Time,VBUP,Sales Order Status Item
Customer Service and Returns,Response Time,LIKP,Delivery Header
Customer Service and Returns,Response Time,LIPS,Delivery Item
Customer Service and Returns,Response Time,VBRK,Billing Document
Customer Service and Returns,Response Time,VBRP,Billing Document
Customer Service and Returns,Response Time,QMEL,Quality & Returns
Customer Service and Returns,Response Time,SER01,Quality & Returns
Customer Service and Returns,Response Time,OBJK,Quality & Returns
Customer Service and Returns,Response Time,CRHD,Production Order
Customer Service and Returns,Refund and Reimbursement Costs,VBAK,Sales Order Header
Customer Service and Returns,Refund and Reimbursement Costs,VBAP,Sales Order Item
Customer Service and Returns,Refund and Reimbursement Costs,VBUK,Sales Order Status Header
Customer Service and Returns,Refund and Reimbursement Costs,VBUP,Sales Order Status Item
Customer Service and Returns,Refund and Reimbursement Costs,LIKP,Delivery Header
Customer Service and Returns,Refund and Reimbursement Costs,LIPS,Delivery Item
Customer Service and Returns,Refund and Reimbursement Costs,VBRK,Billing Document
Customer Service and Returns,Refund and Reimbursement Costs,VBRP,Billing Document
Customer Service and Returns,Refund and Reimbursement Costs,QMEL,Quality & Returns
Customer Service and Returns,Refund and Reimbursement Costs,SER01,Quality & Returns
Customer Service and Returns,Refund and Reimbursement Costs,OBJK,Quality & Returns
Customer Service and Returns,Refund and Reimbursement Costs,CRHD,Production Order
Customer Service and Returns,Customer Satisfaction Score,VBAK,Sales Order Header
Customer Service and Returns,Customer Satisfaction Score,VBAP,Sales Order Item
Customer Service and Returns,Customer Satisfaction Score,VBUK,Sales Order Status Header
Customer Service and Returns,Customer Satisfaction Score,VBUP,Sales Order Status Item
Customer Service and Returns,Customer Satisfaction Score,LIKP,Delivery Header
Customer Service and Returns,Customer Satisfaction Score,LIPS,Delivery Item
Customer Service and Returns,Customer Satisfaction Score,VBRK,Billing Document
Customer Service and Returns,Customer Satisfaction Score,VBRP,Billing Document
Customer Service and Returns,Customer Satisfaction Score,QMEL,Quality & Returns
Customer Service and Returns,Customer Satisfaction Score,SER01,Quality & Returns
Customer Service and Returns,Customer Satisfaction Score,OBJK,Quality & Returns
Customer Service and Returns,Customer Satisfaction Score,CRHD,Production Order
Customer Service and Returns,Return Processing Time,VBAK,Sales Order Header
Customer Service and Returns,Return Processing Time,VBAP,Sales Order Item
Customer Service and Returns,Return Processing Time,VBUK,Sales Order Status Header
Customer Service and Returns,Return Processing Time,VBUP,Sales Order Status Item
Customer Service and Returns,Return Processing Time,LIKP,Delivery Header
Customer Service and Returns,Return Processing Time,LIPS,Delivery Item
Customer Service and Returns,Return Processing Time,VBRK,Billing Document
Customer Service and Returns,Return Processing Time,VBRP,Billing Document
Customer Service and Returns,Return Processing Time,QMEL,Quality & Returns
Customer Service and Returns,Return Processing Time,SER01,Quality & Returns
Customer Service and Returns,Return Processing Time,OBJK,Quality & Returns
Customer Service and Returns,Return Processing Time,CRHD,Production Order
Customer Service and Returns,Customer Retention Rate,VBAK,Sales Order Header
Customer Service and Returns,Customer Retention Rate,VBAP,Sales Order Item
Customer Service and Returns,Customer Retention Rate,VBUK,Sales Order Status Header
Customer Service and Returns,Customer Retention Rate,VBUP,Sales Order Status Item
Customer Service and Returns,Customer Retention Rate,LIKP,Delivery Header
Customer Service and Returns,Customer Retention Rate,LIPS,Delivery Item
Customer Service and Returns,Customer Retention Rate,VBRK,Billing Document
Customer Service and Returns,Customer Retention Rate,VBRP,Billing Document
Customer Service and Returns,Customer Retention Rate,QMEL,Quality & Returns
Customer Service and Returns,Customer Retention Rate,SER01,Quality & Returns
Customer Service and Returns,Customer Retention Rate,OBJK,Quality & Returns
Customer Service and Returns,Customer Retention Rate,CRHD,Production Order
Customer Service and Returns,Average lead time,VBAK,Sales Order Header
Customer Service and Returns,Average lead time,VBAP,Sales Order Item
Customer Service and Returns,Average lead time,VBUK,Sales Order Status Header
Customer Service and Returns,Average lead time,VBUP,Sales Order Status Item
Customer Service and Returns,Average lead time,LIKP,Delivery Header
Customer Service and Returns,Average lead time,LIPS,Delivery Item
Customer Service and Returns,Average lead time,VBRK,Billing Document
Customer Service and Returns,Average lead time,VBRP,Billing Document
Customer Service and Returns,Average lead time,QMEL,Quality & Returns
Customer Service and Returns,Average lead time,SER01,Quality & Returns
Customer Service and Returns,Average lead time,OBJK,Quality & Returns
Customer Service and Returns,Average lead time,CRHD,Production Order
Sales,Sales Performance by Product,VBAK,Sales Order Header
Sales,Sales Performance by Product,VBAP,Sales Order Item
Sales,Sales Performance by Product,VBEP,Sales Schedule Line
Sales,Sales Performance by Product,VBPA,Sales Partner
Sales,Sales Performance by Product,VBUK,Sales Order Status Header
Sales,Sales Performance by Product,VBUP,Sales Order Status Item
Sales,Sales Performance by Product,LIKP,Delivery Header
Sales,Sales Performance by Product,LIPS,Delivery Item
Sales,Sales Performance by Product,VBRK,Billing Document
Sales,Sales Performance by Product,VBRP,Billing Document
Sales,Sales Performance by Product,VBKD,Sales Business Data
Sales,Sales Performance by Product,KNVV,Customer Master
Sales,Sales Performance by Product,KNA1,Customer Master
Sales,Sales Performance by Product,KONV,Pricing Conditions
Sales,Sales Performance by Product,VBFA,Sales Document Flow
Sales,Customer Acquisition Cost (CAC),VBAK,Sales Order Header
Sales,Customer Acquisition Cost (CAC),VBAP,Sales Order Item
Sales,Customer Acquisition Cost (CAC),VBEP,Sales Schedule Line
Sales,Customer Acquisition Cost (CAC),VBPA,Sales Partner
Sales,Customer Acquisition Cost (CAC),VBUK,Sales Order Status Header
Sales,Customer Acquisition Cost (CAC),VBUP,Sales Order Status Item
Sales,Customer Acquisition Cost (CAC),LIKP,Delivery Header
Sales,Customer Acquisition Cost (CAC),LIPS,Delivery Item
Sales,Customer Acquisition Cost (CAC),VBRK,Billing Document
Sales,Customer Acquisition Cost (CAC),VBRP,Billing Document
Sales,Customer Acquisition Cost (CAC),VBKD,Sales Business Data
Sales,Customer Acquisition Cost (CAC),KNVV,Customer Master
Sales,Customer Acquisition Cost (CAC),KNA1,Customer Master
Sales,Customer Acquisition Cost (CAC),KONV,Pricing Conditions
Sales,Customer Acquisition Cost (CAC),VBFA,Sales Document Flow
Sales,Sales Pipeline Health,VBAK,Sales Order Header
Sales,Sales Pipeline Health,VBAP,Sales Order Item
Sales,Sales Pipeline Health,VBEP,Sales Schedule Line
Sales,Sales Pipeline Health,VBPA,Sales Partner
Sales,Sales Pipeline Health,VBUK,Sales Order Status Header
Sales,Sales Pipeline Health,VBUP,Sales Order Status Item
Sales,Sales Pipeline Health,LIKP,Delivery Header
Sales,Sales Pipeline Health,LIPS,Delivery Item
Sales,Sales Pipeline Health,VBRK,Billing Document
Sales,Sales Pipeline Health,VBRP,Billing Document
Sales,Sales Pipeline Health,VBKD,Sales Business Data
Sales,Sales Pipeline Health,KNVV,Customer Master
Sales,Sales Pipeline Health,KNA1,Customer Master
Sales,Sales Pipeline Health,KONV,Pricing Conditions
Sales,Sales Pipeline Health,VBFA,Sales Document Flow
Sales,Lead Conversion Rates,VBAK,Sales Order Header
Sales,Lead Conversion Rates,VBAP,Sales Order Item
Sales,Lead Conversion Rates,VBEP,Sales Schedule Line
Sales,Lead Conversion Rates,VBPA,Sales Partner
Sales,Lead Conversion Rates,VBUK,Sales Order Status Header
Sales,Lead Conversion Rates,VBUP,Sales Order Status Item
Sales,Lead Conversion Rates,LIKP,Delivery Header
Sales,Lead Conversion Rates,LIPS,Delivery Item
Sales,Lead Conversion Rates,VBRK,Billing Document
Sales,Lead Conversion Rates,VBRP,Billing Document
Sales,Lead Conversion Rates,VBKD,Sales Business Data
Sales,Lead Conversion Rates,KNVV,Customer Master
Sales,Lead Conversion Rates,KNA1,Customer Master
Sales,Lead Conversion Rates,KONV,Pricing Conditions
Sales,Lead Conversion Rates,VBFA,Sales Document Flow
Sales,Revenue by Sales Channel,VBAK,Sales Order Header
Sales,Revenue by Sales Channel,VBAP,Sales Order Item
Sales,Revenue by Sales Channel,VBEP,Sales Schedule Line
Sales,Revenue by Sales Channel,VBPA,Sales Partner
Sales,Revenue by Sales Channel,VBUK,Sales Order Status Header
Sales,Revenue by Sales Channel,VBUP,Sales Order Status Item
Sales,Revenue by Sales Channel,LIKP,Delivery Header
Sales,Revenue by Sales Channel,LIPS,Delivery Item
Sales,Revenue by Sales Channel,VBRK,Billing Document
Sales,Revenue by Sales Channel,VBRP,Billing Document
Sales,Revenue by Sales Channel,VBKD,Sales Business Data
Sales,Revenue by Sales Channel,KNVV,Customer Master
Sales,Revenue by Sales Channel,KNA1,Customer Master
Sales,Revenue by Sales Channel,KONV,Pricing Conditions
Sales,Revenue by Sales Channel,VBFA,Sales Document Flow
Sales,Customer Retention and Churn Rate,VBAK,Sales Order Header
Sales,Customer Retention and Churn Rate,VBAP,Sales Order Item
Sales,Customer Retention and Churn Rate,VBEP,Sales Schedule Line
Sales,Customer Retention and Churn Rate,VBPA,Sales Partner
Sales,Customer Retention and Churn Rate,VBUK,Sales Order Status Header
Sales,Customer Retention and Churn Rate,VBUP,Sales Order Status Item
Sales,Customer Retention and Churn Rate,LIKP,Delivery Header
Sales,Customer Retention and Churn Rate,LIPS,Delivery Item
Sales,Customer Retention and Churn Rate,VBRK,Billing Document
Sales,Customer Retention and Churn Rate,VBRP,Billing Document
Sales,Customer Retention and Churn Rate,VBKD,Sales Business Data
Sales,Customer Retention and Churn Rate,KNVV,Customer Master
Sales,Customer Retention and Churn Rate,KNA1,Customer Master
Sales,Customer Retention and Churn Rate,KONV,Pricing Conditions
Sales,Customer Retention and Churn Rate,VBFA,Sales Document Flow
Sales,Sales Cycle Length,VBAK,Sales Order Header
Sales,Sales Cycle Length,VBAP,Sales Order Item
Sales,Sales Cycle Length,VBEP,Sales Schedule Line
Sales,Sales Cycle Length,VBPA,Sales Partner
Sales,Sales Cycle Length,VBUK,Sales Order Status Header
Sales,Sales Cycle Length,VBUP,Sales Order Status Item
Sales,Sales Cycle Length,LIKP,Delivery Header
Sales,Sales Cycle Length,LIPS,Delivery Item
Sales,Sales Cycle Length,VBRK,Billing Document
Sales,Sales Cycle Length,VBRP,Billing Document
Sales,Sales Cycle Length,VBKD,Sales Business Data
Sales,Sales Cycle Length,KNVV,Customer Master
Sales,Sales Cycle Length,KNA1,Customer Master
Sales,Sales Cycle Length,KONV,Pricing Conditions
Sales,Sales Cycle Length,VBFA,Sales Document Flow
Sales,Discount and Promotion Effectiveness,VBAK,Sales Order Header
Sales,Discount and Promotion Effectiveness,VBAP,Sales Order Item
Sales,Discount and Promotion Effectiveness,VBEP,Sales Schedule Line
Sales,Discount and Promotion Effectiveness,VBPA,Sales Partner
Sales,Discount and Promotion Effectiveness,VBUK,Sales Order Status Header
Sales,Discount and Promotion Effectiveness,VBUP,Sales Order Status Item
Sales,Discount and Promotion Effectiveness,LIKP,Delivery Header
Sales,Discount and Promotion Effectiveness,LIPS,Delivery Item
Sales,Discount and Promotion Effectiveness,VBRK,Billing Document
Sales,Discount and Promotion Effectiveness,VBRP,Billing Document
Sales,Discount and Promotion Effectiveness,VBKD,Sales Business Data
Sales,Discount and Promotion Effectiveness,KNVV,Customer Master
Sales,Discount and Promotion Effectiveness,KNA1,Customer Master
Sales,Discount and Promotion Effectiveness,KONV,Pricing Conditions
Sales,Discount and Promotion Effectiveness,VBFA,Sales Document Flow
Sales,Top Sales Representatives,VBAK,Sales Order Header
Sales,Top Sales Representatives,VBAP,Sales Order Item
Sales,Top Sales Representatives,VBEP,Sales Schedule Line
Sales,Top Sales Representatives,VBPA,Sales Partner
Sales,Top Sales Representatives,VBUK,Sales Order Status Header
Sales,Top Sales Representatives,VBUP,Sales Order Status Item
Sales,Top Sales Representatives,LIKP,Delivery Header
Sales,Top Sales Representatives,LIPS,Delivery Item
Sales,Top Sales Representatives,VBRK,Billing Document
Sales,Top Sales Representatives,VBRP,Billing Document
Sales,Top Sales Representatives,VBKD,Sales Business Data
Sales,Top Sales Representatives,KNVV,Customer Master
Sales,Top Sales Representatives,KNA1,Customer Master
Sales,Top Sales Representatives,KONV,Pricing Conditions
Sales,Top Sales Representatives,VBFA,Sales Document Flow
Sales,Market Segmentation Performance,VBAK,Sales Order Header
Sales,Market Segmentation Performance,VBAP,Sales Order Item
Sales,Market Segmentation Performance,VBEP,Sales Schedule Line
Sales,Market Segmentation Performance,VBPA,Sales Partner
Sales,Market Segmentation Performance,VBUK,Sales Order Status Header
Sales,Market Segmentation Performance,VBUP,Sales Order Status Item
Sales,Market Segmentation Performance,LIKP,Delivery Header
Sales,Market Segmentation Performance,LIPS,Delivery Item
Sales,Market Segmentation Performance,VBRK,Billing Document
Sales,Market Segmentation Performance,VBRP,Billing Document
Sales,Market Segmentation Performance,VBKD,Sales Business Data
Sales,Market Segmentation Performance,KNVV,Customer Master
Sales,Market Segmentation Performance,KNA1,Customer Master
Sales,Market Segmentation Performance,KONV,Pricing Conditions
Sales,Market Segmentation Performance,VBFA,Sales Document Flow
Controlling,Budget vs. Actual Performance,BKPF,Financial Document
Controlling,Budget vs. Actual Performance,BSEG,Financial Document
Controlling,Budget vs. Actual Performance,FAGLFLEXA,Flexible GL Document
Controlling,Budget vs. Actual Performance,COBK,Controlling Document Header
Controlling,Budget vs. Actual Performance,COEP,Controlling Line Item
Controlling,Budget vs. Actual Performance,COSP,Cost Center Totals
Controlling,Budget vs. Actual Performance,COSS,Cost Center Totals by Cost Element
Controlling,Budget vs. Actual Performance,CSKA,Cost Element Master
Controlling,Budget vs. Actual Performance,CSKB,Cost Element Company Code
Controlling,Budget vs. Actual Performance,CSKS,Cost Center Master
Controlling,Budget vs. Actual Performance,CSKT,Cost Center Text
Controlling,Budget vs. Actual Performance,ANLA,Asset Master Record
Controlling,Budget vs. Actual Performance,ANEP,Asset Line Item
Controlling,Budget vs. Actual Performance,MLCD,Material Ledger Document
Controlling,Budget vs. Actual Performance,BSAK,Receivables & Payables
Controlling,Budget vs. Actual Performance,BSAD,Receivables & Payables
Controlling,Budget vs. Actual Performance,BSAS,Receivables & Payables
Controlling,Budget vs. Actual Performance,BSID,Receivables & Payables
Controlling,Budget vs. Actual Performance,BSIK,Receivables & Payables
Controlling,Cost Variance Analysis,BKPF,Financial Document
Controlling,Cost Variance Analysis,BSEG,Financial Document
Controlling,Cost Variance Analysis,FAGLFLEXA,Flexible GL Document
Controlling,Cost Variance Analysis,COBK,Controlling Document Header
Controlling,Cost Variance Analysis,COEP,Controlling Line Item
Controlling,Cost Variance Analysis,COSP,Cost Center Totals
Controlling,Cost Variance Analysis,COSS,Cost Center Totals by Cost Element
Controlling,Cost Variance Analysis,CSKA,Cost Element Master
Controlling,Cost Variance Analysis,CSKB,Cost Element Company Code
Controlling,Cost Variance Analysis,CSKS,Cost Center Master
Controlling,Cost Variance Analysis,CSKT,Cost Center Text
Controlling,Cost Variance Analysis,ANLA,Asset Master Record
Controlling,Cost Variance Analysis,ANEP,Asset Line Item
Controlling,Cost Variance Analysis,MLCD,Material Ledger Document
Controlling,Cost Variance Analysis,BSAK,Receivables & Payables
Controlling,Cost Variance Analysis,BSAD,Receivables & Payables
Controlling,Cost Variance Analysis,BSAS,Receivables & Payables
Controlling,Cost Variance Analysis,BSID,Receivables & Payables
Controlling,Cost Variance Analysis,BSIK,Receivables & Payables
Controlling,Cash Flow Analysis,BKPF,Financial Document
Controlling,Cash Flow Analysis,BSEG,Financial Document
Controlling,Cash Flow Analysis,FAGLFLEXA,Flexible GL Document
Controlling,Cash Flow Analysis,COBK,Controlling Document Header
Controlling,Cash Flow Analysis,COEP,Controlling Line Item
Controlling,Cash Flow Analysis,COSP,Cost Center Totals
Controlling,Cash Flow Analysis,COSS,Cost Center Totals by Cost Element
Controlling,Cash Flow Analysis,CSKA,Cost Element Master
Controlling,Cash Flow Analysis,CSKB,Cost Element Company Code
Controlling,Cash Flow Analysis,CSKS,Cost Center Master
Controlling,Cash Flow Analysis,CSKT,Cost Center Text
Controlling,Cash Flow Analysis,ANLA,Asset Master Record
Controlling,Cash Flow Analysis,ANEP,Asset Line Item
Controlling,Cash Flow Analysis,MLCD,Material Ledger Document
Controlling,Cash Flow Analysis,BSAK,Receivables & Payables
Controlling,Cash Flow Analysis,BSAD,Receivables & Payables
Controlling,Cash Flow Analysis,BSAS,Receivables & Payables
Controlling,Cash Flow Analysis,BSID,Receivables & Payables
Controlling,Cash Flow Analysis,BSIK,Receivables & Payables
Controlling,Profitability by Segment,BKPF,Financial Document
Controlling,Profitability by Segment,BSEG,Financial Document
Controlling,Profitability by Segment,FAGLFLEXA,Flexible GL Document
Controlling,Profitability by Segment,COBK,Controlling Document Header
Controlling,Profitability by Segment,COEP,Controlling Line Item
Controlling,Profitability by Segment,COSP,Cost Center Totals
Controlling,Profitability by Segment,COSS,Cost Center Totals by Cost Element
Controlling,Profitability by Segment,CSKA,Cost Element Master
Controlling,Profitability by Segment,CSKB,Cost Element Company Code
Controlling,Profitability by Segment,CSKS,Cost Center Master
Controlling,Profitability by Segment,CSKT,Cost Center Text
Controlling,Profitability by Segment,ANLA,Asset Master Record
Controlling,Profitability by Segment,ANEP,Asset Line Item
Controlling,Profitability by Segment,MLCD,Material Ledger Document
Controlling,Profitability by Segment,BSAK,Receivables & Payables
Controlling,Profitability by Segment,BSAD,Receivables & Payables
Controlling,Profitability by Segment,BSAS,Receivables & Payables
Controlling,Profitability by Segment,BSID,Receivables & Payables
Controlling,Profitability by Segment,BSIK,Receivables & Payables
Controlling,Overhead Cost Monitoring,BKPF,Financial Document
Controlling,Overhead Cost Monitoring,BSEG,Financial Document
Controlling,Overhead Cost Monitoring,FAGLFLEXA,Flexible GL Document
Controlling,Overhead Cost Monitoring,COBK,Controlling Document Header
Controlling,Overhead Cost Monitoring,COEP,Controlling Line Item
Controlling,Overhead Cost Monitoring,COSP,Cost Center Totals
Controlling,Overhead Cost Monitoring,COSS,Cost Center Totals by Cost Element
Controlling,Overhead Cost Monitoring,CSKA,Cost Element Master
Controlling,Overhead Cost Monitoring,CSKB,Cost Element Company Code
Controlling,Overhead Cost Monitoring,CSKS,Cost Center Master
Controlling,Overhead Cost Monitoring,CSKT,Cost Center Text
Controlling,Overhead Cost Monitoring,ANLA,Asset Master Record
Controlling,Overhead Cost Monitoring,ANEP,Asset Line Item
Controlling,Overhead Cost Monitoring,MLCD,Material Ledger Document
Controlling,Overhead Cost Monitoring,BSAK,Receivables & Payables
Controlling,Overhead Cost Monitoring,BSAD,Receivables & Payables
Controlling,Overhead Cost Monitoring,BSAS,Receivables & Payables
Controlling,Overhead Cost Monitoring,BSID,Receivables & Payables
Controlling,Overhead Cost Monitoring,BSIK,Receivables & Payables
Controlling,Cost Center Performance,BKPF,Financial Document
Controlling,Cost Center Performance,BSEG,Financial Document
Controlling,Cost Center Performance,FAGLFLEXA,Flexible GL Document
Controlling,Cost Center Performance,COBK,Controlling Document Header
Controlling,Cost Center Performance,COEP,Controlling Line Item
Controlling,Cost Center Performance,COSP,Cost Center Totals
Controlling,Cost Center Performance,COSS,Cost Center Totals by Cost Element
Controlling,Cost Center Performance,CSKA,Cost Element Master
Controlling,Cost Center Performance,CSKB,Cost Element Company Code
Controlling,Cost Center Performance,CSKS,Cost Center Master
Controlling,Cost Center Performance,CSKT,Cost Center Text
Controlling,Cost Center Performance,ANLA,Asset Master Record
Controlling,Cost Center Performance,ANEP,Asset Line Item
Controlling,Cost Center Performance,MLCD,Material Ledger Document
Controlling,Cost Center Performance,BSAK,Receivables & Payables
Controlling,Cost Center Performance,BSAD,Receivables & Payables
Controlling,Cost Center Performance,BSAS,Receivables & Payables
Controlling,Cost Center Performance,BSID,Receivables & Payables
Controlling,Cost Center Performance,BSIK,Receivables & Payables
Controlling,Capital Expenditure (CapEx) Tracking,BKPF,Financial Document
Controlling,Capital Expenditure (CapEx) Tracking,BSEG,Financial Document
Controlling,Capital Expenditure (CapEx) Tracking,FAGLFLEXA,Flexible GL Document
Controlling,Capital Expenditure (CapEx) Tracking,COBK,Controlling Document Header
Controlling,Capital Expenditure (CapEx) Tracking,COEP,Controlling Line Item
Controlling,Capital Expenditure (CapEx) Tracking,COSP,Cost Center Totals
Controlling,Capital Expenditure (CapEx) Tracking,COSS,Cost Center Totals by Cost Element
Controlling,Capital Expenditure (CapEx) Tracking,CSKA,Cost Element Master
Controlling,Capital Expenditure (CapEx) Tracking,CSKB,Cost Element Company Code
Controlling,Capital Expenditure (CapEx) Tracking,CSKS,Cost Center Master
Controlling,Capital Expenditure (CapEx) Tracking,CSKT,Cost Center Text
Controlling,Capital Expenditure (CapEx) Tracking,ANLA,Asset Master Record
Controlling,Capital Expenditure (CapEx) Tracking,ANEP,Asset Line Item
Controlling,Capital Expenditure (CapEx) Tracking,MLCD,Material Ledger Document
Controlling,Capital Expenditure (CapEx) Tracking,BSAK,Receivables & Payables
Controlling,Capital Expenditure (CapEx) Tracking,BSAD,Receivables & Payables
Controlling,Capital Expenditure (CapEx) Tracking,BSAS,Receivables & Payables
Controlling,Capital Expenditure (CapEx) Tracking,BSID,Receivables & Payables
Controlling,Capital Expenditure (CapEx) Tracking,BSIK,Receivables & Payables
Controlling,Working Capital Management,BKPF,Financial Document
Controlling,Working Capital Management,BSEG,Financial Document
Controlling,Working Capital Management,FAGLFLEXA,Flexible GL Document
Controlling,Working Capital Management,COBK,Controlling Document Header
Controlling,Working Capital Management,COEP,Controlling Line Item
Controlling,Working Capital Management,COSP,Cost Center Totals
Controlling,Working Capital Management,COSS,Cost Center Totals by Cost Element
Controlling,Working Capital Management,CSKA,Cost Element Master
Controlling,Working Capital Management,CSKB,Cost Element Company Code
Controlling,Working Capital Management,CSKS,Cost Center Master
Controlling,Working Capital Management,CSKT,Cost Center Text
Controlling,Working Capital Management,ANLA,Asset Master Record
Controlling,Working Capital Management,ANEP,Asset Line Item
Controlling,Working Capital Management,MLCD,Material Ledger Document
Controlling,Working Capital Management,BSAK,Receivables & Payables
Controlling,Working Capital Management,BSAD,Receivables & Payables
Controlling,Working Capital Management,BSAS,Receivables & Payables
Controlling,Working Capital Management,BSID,Receivables & Payables
Controlling,Working Capital Management,BSIK,Receivables & Payables
Controlling,Financial KPI Dashboard,BKPF,Financial Document
Controlling,Financial KPI Dashboard,BSEG,Financial Document
Controlling,Financial KPI Dashboard,FAGLFLEXA,Flexible GL Document
Controlling,Financial KPI Dashboard,COBK,Controlling Document Header
Controlling,Financial KPI Dashboard,COEP,Controlling Line Item
Controlling,Financial KPI Dashboard,COSP,Cost Center Totals
Controlling,Financial KPI Dashboard,COSS,Cost Center Totals by Cost Element
Controlling,Financial KPI Dashboard,CSKA,Cost Element Master
Controlling,Financial KPI Dashboard,CSKB,Cost Element Company Code
Controlling,Financial KPI Dashboard,CSKS,Cost Center Master
Controlling,Financial KPI Dashboard,CSKT,Cost Center Text
Controlling,Financial KPI Dashboard,ANLA,Asset Master Record
Controlling,Financial KPI Dashboard,ANEP,Asset Line Item
Controlling,Financial KPI Dashboard,MLCD,Material Ledger Document
Controlling,Financial KPI Dashboard,BSAK,Receivables & Payables
Controlling,Financial KPI Dashboard,BSAD,Receivables & Payables
Controlling,Financial KPI Dashboard,BSAS,Receivables & Payables
Controlling,Financial KPI Dashboard,BSID,Receivables & Payables
