Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Warehouse Management,Storage Space Utilization,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Storage Space Utilization,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Storage Space Utilization,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Average Warehouse Stay,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Average Warehouse Stay,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Average Warehouse Stay,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Average Warehouse Stay,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Average Warehouse Stay,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Average Warehouse Stay,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Average Warehouse Stay,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Average Warehouse Stay,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Average Warehouse Stay,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Average Warehouse Stay,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Average Warehouse Stay,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Average Warehouse Stay,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Average Warehouse Stay,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Order Fulfillment Rate,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Order Fulfillment Rate,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Order Fulfillment Rate,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Order Fulfillment Rate,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Order Fulfillment Rate,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Order Fulfillment Rate,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Order Fulfillment Rate,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Order Fulfillment Rate,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Order Fulfillment Rate,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Order Fulfillment Rate,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Order Fulfillment Rate,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Order Fulfillment Rate,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Order Fulfillment Rate,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Equipment Downtime,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Equipment Downtime,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Equipment Downtime,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Equipment Downtime,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Equipment Downtime,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Equipment Downtime,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Equipment Downtime,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Equipment Downtime,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Equipment Downtime,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Equipment Downtime,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Equipment Downtime,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Equipment Downtime,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Equipment Downtime,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Inbound/Outbound Freight Coordination,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Inbound/Outbound Freight Coordination,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Inbound/Outbound Freight Coordination,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Inbound/Outbound Freight Coordination,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Inbound/Outbound Freight Coordination,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Inbound/Outbound Freight Coordination,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Inbound/Outbound Freight Coordination,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Inbound/Outbound Freight Coordination,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Inbound/Outbound Freight Coordination,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Inbound/Outbound Freight Coordination,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Inbound/Outbound Freight Coordination,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Inbound/Outbound Freight Coordination,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Inbound/Outbound Freight Coordination,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Inventory Damage Rates,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Inventory Damage Rates,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Inventory Damage Rates,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Inventory Damage Rates,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Inventory Damage Rates,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Inventory Damage Rates,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Inventory Damage Rates,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Inventory Damage Rates,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Inventory Damage Rates,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Inventory Damage Rates,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Inventory Damage Rates,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Inventory Damage Rates,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Inventory Damage Rates,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Warehouse Management,Temperature Control Monitoring,LQUA,Warehouse Quant,Dim Warehouse,Warehouse quant records for bin-level inventory visibility,
Warehouse Management,Temperature Control Monitoring,LAGP,Storage Bin Master,Dim Warehouse,Storage bin master data for warehouse layout and capacity,
Warehouse Management,Temperature Control Monitoring,LTAK,Transfer Order Header,Fact Warehouse Activity,Transfer order header for internal movements and picking,"transfer quantity, transfer count"
Warehouse Management,Temperature Control Monitoring,LTAP,Transfer Order Item,Fact Warehouse Activity,Transfer order item details for stock movement and allocation,transfer quantity
Warehouse Management,Temperature Control Monitoring,LTBK,Transfer Requirement Header,Fact Warehouse Activity,Transfer requirement header for replenishment and staging,requirement quantity
Warehouse Management,Temperature Control Monitoring,LTBP,Transfer Requirement Item,Fact Warehouse Activity,Transfer requirement item details for material requirements,requirement quantity
Warehouse Management,Temperature Control Monitoring,LEIN,Handling Unit,Dim Warehouse,Handling unit and storage unit master data for logistics tracking,
Warehouse Management,Temperature Control Monitoring,RLGRAP,Inventory Snapshot by Bin,Fact Warehouse Activity,Inventory snapshot per bin for cycle counts and accuracy,"on-hand quantity, book quantity"
Warehouse Management,Temperature Control Monitoring,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Warehouse Management,Temperature Control Monitoring,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Warehouse Management,Temperature Control Monitoring,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Warehouse Management,Temperature Control Monitoring,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Warehouse Management,Temperature Control Monitoring,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,OTIF and Customer Delivery Performance,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,OTIF and Customer Delivery Performance,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,OTIF and Customer Delivery Performance,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,OTIF and Customer Delivery Performance,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,OTIF and Customer Delivery Performance,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,OTIF and Customer Delivery Performance,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,OTIF and Customer Delivery Performance,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,OTIF and Customer Delivery Performance,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,OTIF and Customer Delivery Performance,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,OTIF and Customer Delivery Performance,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,OTIF and Customer Delivery Performance,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,OTIF and Customer Delivery Performance,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Planned production for sales orders,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Planned production for sales orders,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Planned production for sales orders,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Planned production for sales orders,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Planned production for sales orders,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Planned production for sales orders,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Planned production for sales orders,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Planned production for sales orders,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Planned production for sales orders,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Planned production for sales orders,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Planned production for sales orders,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Planned production for sales orders,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Return Rate Analysis,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Return Rate Analysis,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Return Rate Analysis,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Return Rate Analysis,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Return Rate Analysis,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Return Rate Analysis,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Return Rate Analysis,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Return Rate Analysis,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Return Rate Analysis,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Return Rate Analysis,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Return Rate Analysis,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Return Rate Analysis,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Customer Complaint Rate,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Customer Complaint Rate,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Customer Complaint Rate,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Customer Complaint Rate,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Customer Complaint Rate,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Customer Complaint Rate,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Customer Complaint Rate,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Customer Complaint Rate,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Customer Complaint Rate,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Customer Complaint Rate,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Customer Complaint Rate,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Customer Complaint Rate,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,First Contact Resolution,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,First Contact Resolution,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,First Contact Resolution,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,First Contact Resolution,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,First Contact Resolution,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,First Contact Resolution,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,First Contact Resolution,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,First Contact Resolution,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,First Contact Resolution,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,First Contact Resolution,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,First Contact Resolution,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,First Contact Resolution,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Warranty Claim Rates,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Warranty Claim Rates,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Warranty Claim Rates,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Warranty Claim Rates,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Warranty Claim Rates,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Warranty Claim Rates,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Warranty Claim Rates,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Warranty Claim Rates,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Warranty Claim Rates,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Warranty Claim Rates,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Warranty Claim Rates,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Warranty Claim Rates,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Response Time,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Response Time,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Response Time,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Response Time,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Response Time,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Response Time,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Response Time,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Response Time,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Response Time,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Response Time,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Response Time,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Response Time,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Refund and Reimbursement Costs,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Refund and Reimbursement Costs,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Refund and Reimbursement Costs,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Refund and Reimbursement Costs,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Refund and Reimbursement Costs,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Refund and Reimbursement Costs,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Refund and Reimbursement Costs,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Refund and Reimbursement Costs,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Refund and Reimbursement Costs,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Refund and Reimbursement Costs,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Refund and Reimbursement Costs,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Refund and Reimbursement Costs,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Customer Satisfaction Score,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Customer Satisfaction Score,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Customer Satisfaction Score,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Customer Satisfaction Score,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Customer Satisfaction Score,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Customer Satisfaction Score,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Customer Satisfaction Score,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Customer Satisfaction Score,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Customer Satisfaction Score,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Customer Satisfaction Score,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Customer Satisfaction Score,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Customer Satisfaction Score,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Return Processing Time,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Return Processing Time,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Return Processing Time,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Return Processing Time,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Return Processing Time,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Return Processing Time,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Return Processing Time,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Return Processing Time,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Return Processing Time,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Return Processing Time,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Return Processing Time,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
